state_fips,state_name,drought_lvl,area_pct,time_range
1,Alabama,D0,16.710047892720308,2001-2021
1,Alabama,D1,8.803429118773947,2001-2021
1,Alabama,D2,5.459348659003831,2001-2021
1,Alabama,D3,3.260383141762452,2001-2021
1,Alabama,D4,2.075038314176245,2001-2021
1,Alabama,None,63.69175287356322,2001-2021
2,Alaska,D0,16.433678160919538,2001-2021
2,Alaska,D1,1.0401628352490422,2001-2021
2,Alaska,D2,0.14407088122605363,2001-2021
2,Alaska,D3,0.020498084291187737,2001-2021
2,Alaska,D4,0.0,2001-2021
2,Alaska,None,82.36140804597702,2001-2021
4,Arizona,D0,19.13653256704981,2001-2021
4,Arizona,D1,23.784588122605363,2001-2021
4,Arizona,D2,20.758994252873563,2001-2021
4,Arizona,D3,12.896053639846743,2001-2021
4,Arizona,D4,3.4867720306513412,2001-2021
4,Arizona,None,19.936494252873565,2001-2021
5,Arkansas,D0,15.087164750957854,2001-2021
5,Arkansas,D1,9.348908045977012,2001-2021
5,Arkansas,D2,5.668860153256705,2001-2021
5,Arkansas,D3,2.154003831417625,2001-2021
5,Arkansas,D4,0.44657088122605365,2001-2021
5,Arkansas,None,67.29456896551724,2001-2021
6,California,D0,15.892605363984675,2001-2021
6,California,D1,17.381082375478925,2001-2021
6,California,D2,16.011561302681994,2001-2021
6,California,D3,8.71241379310345,2001-2021
6,California,D4,5.662289272030652,2001-2021
6,California,None,36.3397030651341,2001-2021
8,Colorado,D0,20.772892720306515,2001-2021
8,Colorado,D1,14.230526819923371,2001-2021
8,Colorado,D2,13.164731800766283,2001-2021
8,Colorado,D3,10.701503831417625,2001-2021
8,Colorado,D4,2.7215996168582373,2001-2021
8,Colorado,None,38.40889846743295,2001-2021
9,Connecticut,D0,16.381551724137932,2001-2021
9,Connecticut,D1,8.438285440613026,2001-2021
9,Connecticut,D2,4.083036398467432,2001-2021
9,Connecticut,D3,0.755411877394636,2001-2021
9,Connecticut,D4,0.0,2001-2021
9,Connecticut,None,70.3416091954023,2001-2021
10,Delaware,D0,12.043275862068965,2001-2021
10,Delaware,D1,6.48191570881226,2001-2021
10,Delaware,D2,3.9643582375478927,2001-2021
10,Delaware,D3,1.1439176245210727,2001-2021
10,Delaware,D4,0.13034482758620689,2001-2021
10,Delaware,None,76.23607279693488,2001-2021
12,Florida,D0,17.21396551724138,2001-2021
12,Florida,D1,8.953180076628353,2001-2021
12,Florida,D2,4.6432183908045985,2001-2021
12,Florida,D3,1.8149137931034482,2001-2021
12,Florida,D4,0.18295977011494252,2001-2021
12,Florida,None,67.19208812260536,2001-2021
13,Georgia,D0,16.996618773946363,2001-2021
13,Georgia,D1,10.89169540229885,2001-2021
13,Georgia,D2,8.127174329501916,2001-2021
13,Georgia,D3,6.773285440613027,2001-2021
13,Georgia,D4,2.3000766283524907,2001-2021
13,Georgia,None,54.91112068965517,2001-2021
15,Hawaii,D0,28.264511494252876,2001-2021
15,Hawaii,D1,17.039722222222224,2001-2021
15,Hawaii,D2,8.0519061302682,2001-2021
15,Hawaii,D3,2.2433045977011496,2001-2021
15,Hawaii,D4,0.16180076628352488,2001-2021
15,Hawaii,None,44.2385632183908,2001-2021
16,Idaho,D0,21.63647509578544,2001-2021
16,Idaho,D1,16.697969348659004,2001-2021
16,Idaho,D2,13.406273946360153,2001-2021
16,Idaho,D3,6.550296934865901,2001-2021
16,Idaho,D4,1.45566091954023,2001-2021
16,Idaho,None,40.253045977011496,2001-2021
17,Illinois,D0,12.698256704980842,2001-2021
17,Illinois,D1,5.932835249042146,2001-2021
17,Illinois,D2,2.4644540229885057,2001-2021
17,Illinois,D3,1.2628831417624522,2001-2021
17,Illinois,D4,0.0478544061302682,2001-2021
17,Illinois,None,77.59346743295019,2001-2021
18,Indiana,D0,12.484291187739464,2001-2021
18,Indiana,D1,4.423362068965517,2001-2021
18,Indiana,D2,1.550507662835249,2001-2021
18,Indiana,D3,0.47616858237547893,2001-2021
18,Indiana,D4,0.1025095785440613,2001-2021
18,Indiana,None,80.96299808429119,2001-2021
19,Iowa,D0,14.36669540229885,2001-2021
19,Iowa,D1,8.77375478927203,2001-2021
19,Iowa,D2,5.531388888888889,2001-2021
19,Iowa,D3,2.2125478927203064,2001-2021
19,Iowa,D4,0.0439367816091954,2001-2021
19,Iowa,None,69.07158045977012,2001-2021
20,Kansas,D0,19.656934865900382,2001-2021
20,Kansas,D1,13.136446360153258,2001-2021
20,Kansas,D2,9.062863984674328,2001-2021
20,Kansas,D3,5.189434865900384,2001-2021
20,Kansas,D4,2.2390996168582373,2001-2021
20,Kansas,None,50.71550766283525,2001-2021
21,Kentucky,D0,10.463515325670498,2001-2021
21,Kentucky,D1,5.021273946360154,2001-2021
21,Kentucky,D2,2.9222701149425285,2001-2021
21,Kentucky,D3,1.141302681992337,2001-2021
21,Kentucky,D4,0.1661111111111111,2001-2021
21,Kentucky,None,80.28538314176245,2001-2021
22,Louisiana,D0,18.962605363984675,2001-2021
22,Louisiana,D1,8.622337164750958,2001-2021
22,Louisiana,D2,3.9402394636015323,2001-2021
22,Louisiana,D3,2.504396551724138,2001-2021
22,Louisiana,D4,0.9529022988505748,2001-2021
22,Louisiana,None,65.01765325670497,2001-2021
23,Maine,D0,12.395862068965517,2001-2021
23,Maine,D1,6.584865900383142,2001-2021
23,Maine,D2,3.2614463601532564,2001-2021
23,Maine,D3,0.6656800766283525,2001-2021
23,Maine,D4,0.0,2001-2021
23,Maine,None,77.09204022988506,2001-2021
24,Maryland,D0,13.582883141762453,2001-2021
24,Maryland,D1,6.940344827586207,2001-2021
24,Maryland,D2,3.145057471264368,2001-2021
24,Maryland,D3,1.1286877394636015,2001-2021
24,Maryland,D4,0.07453065134099617,2001-2021
24,Maryland,None,75.12860153256705,2001-2021
25,Massachusetts,D0,14.66897509578544,2001-2021
25,Massachusetts,D1,7.545555555555556,2001-2021
25,Massachusetts,D2,3.0796647509578543,2001-2021
25,Massachusetts,D3,0.8942145593869731,2001-2021
25,Massachusetts,D4,0.0,2001-2021
25,Massachusetts,None,73.81164750957855,2001-2021
26,Michigan,D0,16.61955938697318,2001-2021
26,Michigan,D1,6.556226053639847,2001-2021
26,Michigan,D2,1.885124521072797,2001-2021
26,Michigan,D3,0.13271072796934863,2001-2021
26,Michigan,D4,0.0,2001-2021
26,Michigan,None,74.80646551724138,2001-2021
27,Minnesota,D0,20.077021072796935,2001-2021
27,Minnesota,D1,11.405114942528735,2001-2021
27,Minnesota,D2,4.148208812260536,2001-2021
27,Minnesota,D3,2.262442528735632,2001-2021
27,Minnesota,D4,0.0,2001-2021
27,Minnesota,None,62.10716475095785,2001-2021
28,Mississippi,D0,15.723371647509579,2001-2021
28,Mississippi,D1,7.644157088122605,2001-2021
28,Mississippi,D2,3.146369731800766,2001-2021
28,Mississippi,D3,1.0875095785440612,2001-2021
28,Mississippi,D4,0.07971264367816092,2001-2021
28,Mississippi,None,72.3190804597701,2001-2021
29,Missouri,D0,15.542318007662836,2001-2021
29,Missouri,D1,9.395459770114943,2001-2021
29,Missouri,D2,3.7207758620689653,2001-2021
29,Missouri,D3,1.4461111111111111,2001-2021
29,Missouri,D4,0.14901340996168583,2001-2021
29,Missouri,None,69.74608237547893,2001-2021
30,Montana,D0,17.668400383141762,2001-2021
30,Montana,D1,12.781072796934867,2001-2021
30,Montana,D2,10.703323754789272,2001-2021
30,Montana,D3,7.638773946360153,2001-2021
30,Montana,D4,1.105,2001-2021
30,Montana,None,50.10338122605364,2001-2021
31,Nebraska,D0,17.757538314176244,2001-2021
31,Nebraska,D1,11.785727969348658,2001-2021
31,Nebraska,D2,8.755421455938697,2001-2021
31,Nebraska,D3,6.980986590038314,2001-2021
31,Nebraska,D4,2.885450191570881,2001-2021
31,Nebraska,None,51.83480842911877,2001-2021
32,Nevada,D0,15.719521072796935,2001-2021
32,Nevada,D1,20.998553639846744,2001-2021
32,Nevada,D2,21.772432950191572,2001-2021
32,Nevada,D3,13.174176245210727,2001-2021
32,Nevada,D4,2.6534291187739463,2001-2021
32,Nevada,None,25.68227969348659,2001-2021
33,New Hampshire,D0,14.194693486590038,2001-2021
33,New Hampshire,D1,6.3997030651341,2001-2021
33,New Hampshire,D2,3.783955938697318,2001-2021
33,New Hampshire,D3,0.33523946360153256,2001-2021
33,New Hampshire,D4,0.0,2001-2021
33,New Hampshire,None,75.2861877394636,2001-2021
34,New Jersey,D0,12.03471264367816,2001-2021
34,New Jersey,D1,5.554454022988506,2001-2021
34,New Jersey,D2,2.518668582375479,2001-2021
34,New Jersey,D3,1.0099616858237548,2001-2021
34,New Jersey,D4,0.0017145593869731801,2001-2021
34,New Jersey,None,78.88079501915709,2001-2021
35,New Mexico,D0,19.264386973180077,2001-2021
35,New Mexico,D1,18.17963601532567,2001-2021
35,New Mexico,D2,17.128256704980846,2001-2021
35,New Mexico,D3,11.717710727969349,2001-2021
35,New Mexico,D4,5.092844827586207,2001-2021
35,New Mexico,None,28.617059386973178,2001-2021
36,New York,D0,14.281283524904214,2001-2021
36,New York,D1,4.0216954022988505,2001-2021
36,New York,D2,0.9461590038314176,2001-2021
36,New York,D3,0.09424329501915708,2001-2021
36,New York,D4,0.0,2001-2021
36,New York,None,80.65655172413793,2001-2021
37,North Carolina,D0,18.571053639846742,2001-2021
37,North Carolina,D1,9.910105363984673,2001-2021
37,North Carolina,D2,4.853783524904215,2001-2021
37,North Carolina,D3,2.584616858237548,2001-2021
37,North Carolina,D4,1.5014750957854406,2001-2021
37,North Carolina,None,62.57905172413793,2001-2021
38,North Dakota,D0,23.970852490421457,2001-2021
38,North Dakota,D1,13.279434865900383,2001-2021
38,North Dakota,D2,6.802978927203066,2001-2021
38,North Dakota,D3,2.105632183908046,2001-2021
38,North Dakota,D4,0.17850574712643677,2001-2021
38,North Dakota,None,53.6619061302682,2001-2021
39,Ohio,D0,11.246072796934866,2001-2021
39,Ohio,D1,3.9084770114942526,2001-2021
39,Ohio,D2,0.6599712643678161,2001-2021
39,Ohio,D3,0.07509578544061303,2001-2021
39,Ohio,D4,0.0,2001-2021
39,Ohio,None,84.11045019157088,2001-2021
40,Oklahoma,D0,17.248409961685823,2001-2021
40,Oklahoma,D1,12.82095785440613,2001-2021
40,Oklahoma,D2,9.328122605363983,2001-2021
40,Oklahoma,D3,6.668429118773947,2001-2021
40,Oklahoma,D4,3.4748275862068967,2001-2021
40,Oklahoma,None,50.46054597701149,2001-2021
41,Oregon,D0,21.101388888888888,2001-2021
41,Oregon,D1,16.83146551724138,2001-2021
41,Oregon,D2,15.282519157088123,2001-2021
41,Oregon,D3,7.22221264367816,2001-2021
41,Oregon,D4,0.1817528735632184,2001-2021
41,Oregon,None,39.38109195402299,2001-2021
42,Pennsylvania,D0,15.991858237547893,2001-2021
42,Pennsylvania,D1,3.585277777777778,2001-2021
42,Pennsylvania,D2,0.6363122605363984,2001-2021
42,Pennsylvania,D3,0.160316091954023,2001-2021
42,Pennsylvania,D4,5.747126436781609e-05,2001-2021
42,Pennsylvania,None,79.62615900383142,2001-2021
44,Rhode Island,D0,15.42103448275862,2001-2021
44,Rhode Island,D1,8.967787356321839,2001-2021
44,Rhode Island,D2,2.8678065134099615,2001-2021
44,Rhode Island,D3,0.5360249042145594,2001-2021
44,Rhode Island,D4,0.0,2001-2021
44,Rhode Island,None,72.20734674329502,2001-2021
45,South Carolina,D0,20.879367816091957,2001-2021
45,South Carolina,D1,11.726331417624522,2001-2021
45,South Carolina,D2,6.266149425287356,2001-2021
45,South Carolina,D3,5.262528735632184,2001-2021
45,South Carolina,D4,1.2584099616858238,2001-2021
45,South Carolina,None,54.60726053639847,2001-2021
46,South Dakota,D0,19.42395593869732,2001-2021
46,South Dakota,D1,13.83316091954023,2001-2021
46,South Dakota,D2,9.406044061302682,2001-2021
46,South Dakota,D3,4.181197318007663,2001-2021
46,South Dakota,D4,0.9991858237547894,2001-2021
46,South Dakota,None,52.15623563218391,2001-2021
47,Tennessee,D0,13.399549808429118,2001-2021
47,Tennessee,D1,6.217538314176245,2001-2021
47,Tennessee,D2,3.4179022988505747,2001-2021
47,Tennessee,D3,2.1585536398467435,2001-2021
47,Tennessee,D4,1.1047892720306514,2001-2021
47,Tennessee,None,73.7016570881226,2001-2021
48,Texas,D0,16.475795019157086,2001-2021
48,Texas,D1,14.450842911877395,2001-2021
48,Texas,D2,10.708113026819923,2001-2021
48,Texas,D3,7.03058429118774,2001-2021
48,Texas,D4,4.405909961685824,2001-2021
48,Texas,None,46.928927203065136,2001-2021
49,Utah,D0,18.640718390804597,2001-2021
49,Utah,D1,19.91241379310345,2001-2021
49,Utah,D2,15.950028735632186,2001-2021
49,Utah,D3,11.513764367816092,2001-2021
49,Utah,D4,3.412959770114943,2001-2021
49,Utah,None,30.56992337164751,2001-2021
50,Vermont,D0,15.207308429118774,2001-2021
50,Vermont,D1,7.273726053639847,2001-2021
50,Vermont,D2,0.5643295019157087,2001-2021
50,Vermont,D3,0.0,2001-2021
50,Vermont,D4,0.0,2001-2021
50,Vermont,None,76.9546551724138,2001-2021
51,Virginia,D0,16.167250957854407,2001-2021
51,Virginia,D1,8.534683908045976,2001-2021
51,Virginia,D2,3.572787356321839,2001-2021
51,Virginia,D3,1.1147701149425286,2001-2021
51,Virginia,D4,0.24782567049808432,2001-2021
51,Virginia,None,70.36263409961686,2001-2021
53,Washington,D0,23.236657088122605,2001-2021
53,Washington,D1,11.22,2001-2021
53,Washington,D2,6.747155172413793,2001-2021
53,Washington,D3,1.5089750957854404,2001-2021
53,Washington,D4,0.0065325670498084295,2001-2021
53,Washington,None,57.28086206896552,2001-2021
54,West Virginia,D0,14.370450191570882,2001-2021
54,West Virginia,D1,3.3091187739463606,2001-2021
54,West Virginia,D2,0.872183908045977,2001-2021
54,West Virginia,D3,0.14397509578544063,2001-2021
54,West Virginia,D4,0.0,2001-2021
54,West Virginia,None,81.30425287356321,2001-2021
55,Wisconsin,D0,15.959885057471263,2001-2021
55,Wisconsin,D1,9.530862068965517,2001-2021
55,Wisconsin,D2,4.012777777777778,2001-2021
55,Wisconsin,D3,0.4298850574712644,2001-2021
55,Wisconsin,D4,0.0,2001-2021
55,Wisconsin,None,70.06698275862068,2001-2021
56,Wyoming,D0,17.14843869731801,2001-2021
56,Wyoming,D1,13.222365900383142,2001-2021
56,Wyoming,D2,15.272471264367816,2001-2021
56,Wyoming,D3,12.009128352490421,2001-2021
56,Wyoming,D4,1.924147509578544,2001-2021
56,Wyoming,None,40.42311302681993,2001-2021
1,Alabama,D0,15.308947368421052,2001-2010
1,Alabama,D1,8.648765182186235,2001-2010
1,Alabama,D2,6.003744939271255,2001-2010
1,Alabama,D3,3.331356275303644,2001-2010
1,Alabama,D4,3.604757085020243,2001-2010
1,Alabama,None,63.102267206477734,2001-2010
2,Alaska,D0,17.47161943319838,2001-2010
2,Alaska,D1,0.2872874493927125,2001-2010
2,Alaska,D2,0.0,2001-2010
2,Alaska,D3,0.0,2001-2010
2,Alaska,D4,0.0,2001-2010
2,Alaska,None,82.24109311740891,2001-2010
4,Arizona,D0,21.140303643724696,2001-2010
4,Arizona,D1,17.601518218623482,2001-2010
4,Arizona,D2,19.78178137651822,2001-2010
4,Arizona,D3,16.255364372469636,2001-2010
4,Arizona,D4,2.0763157894736843,2001-2010
4,Arizona,None,23.14421052631579,2001-2010
5,Arkansas,D0,16.269412955465587,2001-2010
5,Arkansas,D1,8.584473684210526,2001-2010
5,Arkansas,D2,5.156032388663967,2001-2010
5,Arkansas,D3,1.1122874493927126,2001-2010
5,Arkansas,D4,0.15645748987854252,2001-2010
5,Arkansas,None,68.72151821862349,2001-2010
6,California,D0,18.059696356275303,2001-2010
6,California,D1,19.120425101214575,2001-2010
6,California,D2,13.966336032388664,2001-2010
6,California,D3,5.056113360323886,2001-2010
6,California,D4,0.0,2001-2010
6,California,None,43.79722672064778,2001-2010
8,Colorado,D0,25.355647773279355,2001-2010
8,Colorado,D1,14.664514170040485,2001-2010
8,Colorado,D2,10.462327935222673,2001-2010
8,Colorado,D3,10.493765182186236,2001-2010
8,Colorado,D4,1.257651821862348,2001-2010
8,Colorado,None,37.76609311740891,2001-2010
9,Connecticut,D0,13.667611336032389,2001-2010
9,Connecticut,D1,4.674716599190283,2001-2010
9,Connecticut,D2,4.0204655870445345,2001-2010
9,Connecticut,D3,0.09854251012145748,2001-2010
9,Connecticut,D4,0.0,2001-2010
9,Connecticut,None,77.5387044534413,2001-2010
10,Delaware,D0,14.79821862348178,2001-2010
10,Delaware,D1,8.713542510121457,2001-2010
10,Delaware,D2,5.739574898785425,2001-2010
10,Delaware,D3,2.41751012145749,2001-2010
10,Delaware,D4,0.2754655870445344,2001-2010
10,Delaware,None,68.05568825910932,2001-2010
12,Florida,D0,19.07578947368421,2001-2010
12,Florida,D1,8.855344129554656,2001-2010
12,Florida,D2,4.230485829959514,2001-2010
12,Florida,D3,1.158744939271255,2001-2010
12,Florida,D4,0.0038259109311740893,2001-2010
12,Florida,None,66.67623481781376,2001-2010
13,Georgia,D0,17.91410931174089,2001-2010
13,Georgia,D1,12.417732793522266,2001-2010
13,Georgia,D2,10.064109311740891,2001-2010
13,Georgia,D3,5.417267206477733,2001-2010
13,Georgia,D4,2.0835627530364373,2001-2010
13,Georgia,None,52.10293522267206,2001-2010
15,Hawaii,D0,29.132874493927126,2001-2010
15,Hawaii,D1,14.305910931174088,2001-2010
15,Hawaii,D2,8.986234817813765,2001-2010
15,Hawaii,D3,2.9227935222672063,2001-2010
15,Hawaii,D4,0.3335222672064777,2001-2010
15,Hawaii,None,44.31854251012146,2001-2010
16,Idaho,D0,18.954028340080974,2001-2010
16,Idaho,D1,17.816497975708504,2001-2010
16,Idaho,D2,19.49263157894737,2001-2010
16,Idaho,D3,11.734392712550607,2001-2010
16,Idaho,D4,3.0496761133603236,2001-2010
16,Idaho,None,28.952125506072875,2001-2010
17,Illinois,D0,10.477307692307692,2001-2010
17,Illinois,D1,6.359615384615385,2001-2010
17,Illinois,D2,2.8617206477732795,2001-2010
17,Illinois,D3,1.6619635627530365,2001-2010
17,Illinois,D4,0.0,2001-2010
17,Illinois,None,78.63931174089069,2001-2010
18,Indiana,D0,10.49919028340081,2001-2010
18,Indiana,D1,4.502064777327935,2001-2010
18,Indiana,D2,2.086518218623482,2001-2010
18,Indiana,D3,0.32522267206477734,2001-2010
18,Indiana,D4,0.0,2001-2010
18,Indiana,None,82.58676113360325,2001-2010
19,Iowa,D0,14.056518218623482,2001-2010
19,Iowa,D1,7.5475910931174095,2001-2010
19,Iowa,D2,4.139838056680162,2001-2010
19,Iowa,D3,1.0044331983805668,2001-2010
19,Iowa,D4,0.0,2001-2010
19,Iowa,None,73.25137651821862,2001-2010
20,Kansas,D0,19.80993927125506,2001-2010
20,Kansas,D1,11.598967611336032,2001-2010
20,Kansas,D2,6.867813765182186,2001-2010
20,Kansas,D3,2.436417004048583,2001-2010
20,Kansas,D4,0.21307692307692308,2001-2010
20,Kansas,None,59.07382591093118,2001-2010
21,Kentucky,D0,12.25674089068826,2001-2010
21,Kentucky,D1,7.070404858299596,2001-2010
21,Kentucky,D2,4.444716599190284,2001-2010
21,Kentucky,D3,1.9744331983805667,2001-2010
21,Kentucky,D4,0.19216599190283398,2001-2010
21,Kentucky,None,74.06141700404858,2001-2010
22,Louisiana,D0,21.218744939271254,2001-2010
22,Louisiana,D1,8.864919028340083,2001-2010
22,Louisiana,D2,3.1620850202429147,2001-2010
22,Louisiana,D3,1.7043117408906885,2001-2010
22,Louisiana,D4,0.0,2001-2010
22,Louisiana,None,65.05,2001-2010
23,Maine,D0,9.625263157894738,2001-2010
23,Maine,D1,7.349230769230769,2001-2010
23,Maine,D2,4.721740890688259,2001-2010
23,Maine,D3,1.227995951417004,2001-2010
23,Maine,D4,0.0,2001-2010
23,Maine,None,77.07562753036437,2001-2010
24,Maryland,D0,13.410242914979756,2001-2010
24,Maryland,D1,8.771538461538462,2001-2010
24,Maryland,D2,5.927530364372469,2001-2010
24,Maryland,D3,2.385323886639676,2001-2010
24,Maryland,D4,0.15751012145748988,2001-2010
24,Maryland,None,69.34817813765183,2001-2010
25,Massachusetts,D0,11.65912955465587,2001-2010
25,Massachusetts,D1,5.163582995951417,2001-2010
25,Massachusetts,D2,2.110910931174089,2001-2010
25,Massachusetts,D3,0.0,2001-2010
25,Massachusetts,D4,0.0,2001-2010
25,Massachusetts,None,81.06645748987854,2001-2010
26,Michigan,D0,18.01694331983806,2001-2010
26,Michigan,D1,10.069595141700406,2001-2010
26,Michigan,D2,3.51580971659919,2001-2010
26,Michigan,D3,0.270668016194332,2001-2010
26,Michigan,D4,0.0,2001-2010
26,Michigan,None,68.12700404858299,2001-2010
27,Minnesota,D0,21.913785425101214,2001-2010
27,Minnesota,D1,11.006336032388663,2001-2010
27,Minnesota,D2,3.6841093117408907,2001-2010
27,Minnesota,D3,3.3482388663967613,2001-2010
27,Minnesota,D4,0.0,2001-2010
27,Minnesota,None,60.04716599190283,2001-2010
28,Mississippi,D0,15.009817813765183,2001-2010
28,Mississippi,D1,7.576862348178137,2001-2010
28,Mississippi,D2,3.6063562753036438,2001-2010
28,Mississippi,D3,1.3079554655870445,2001-2010
28,Mississippi,D4,0.07981781376518218,2001-2010
28,Mississippi,None,72.41908906882591,2001-2010
29,Missouri,D0,12.91410931174089,2001-2010
29,Missouri,D1,9.116437246963564,2001-2010
29,Missouri,D2,3.076255060728745,2001-2010
29,Missouri,D3,1.4412753036437247,2001-2010
29,Missouri,D4,0.0,2001-2010
